date,home,away,neutral,gdf,draw,win,k,result
1990-06-08,Argentina,Cameroon,True,1,False,False,60,0.0
1990-06-09,Italy,Austria,False,1,False,True,60,1.0
1990-06-09,Russia,Romania,True,2,False,False,60,0.0
1990-06-09,United Arab Emirates,Colombia,True,2,False,False,60,0.0
1990-06-10,Botswana,Mauritius,False,1,False,False,20,0.0
1990-06-10,Brazil,Sweden,True,1,False,True,60,1.0
1990-06-10,Germany,Yugoslavia,True,3,False,True,60,1.0
1990-06-10,USA,Czechoslovakia,True,4,False,False,60,0.0
1990-06-11,Costa Rica,Scotland,True,1,False,True,60,1.0
1990-06-11,England,Ireland,True,0,True,False,60,0.5
1990-06-12,Belgium,Korea Republic,True,2,False,True,60,1.0
1990-06-12,Netherlands,Egypt,True,0,True,False,60,0.5
1990-06-13,Argentina,Russia,True,2,False,True,60,1.0
1990-06-13,Uruguay,Spain,True,0,True,False,60,0.5
1990-06-14,Cameroon,Romania,True,1,False,True,60,1.0
1990-06-14,Italy,USA,False,1,False,True,60,1.0
1990-06-14,Yugoslavia,Colombia,True,1,False,True,60,1.0
1990-06-15,Austria,Czechoslovakia,True,1,False,False,60,0.0
1990-06-15,Germany,United Arab Emirates,True,4,False,True,60,1.0
1990-06-16,Brazil,Costa Rica,True,1,False,True,60,1.0
1990-06-16,England,Netherlands,True,0,True,False,60,0.5
1990-06-16,Sweden,Scotland,True,1,False,False,60,0.0
1990-06-17,Belgium,Uruguay,True,2,False,True,60,1.0
1990-06-17,Ireland,Egypt,True,0,True,False,60,0.5
1990-06-17,Korea Republic,Spain,True,2,False,False,60,0.0
1990-06-18,Argentina,Romania,True,0,True,False,60,0.5
1990-06-18,Cameroon,Russia,True,4,False,False,60,0.0
1990-06-19,Austria,USA,True,1,False,True,60,1.0
1990-06-19,Germany,Colombia,True,0,True,False,60,0.5
1990-06-19,Italy,Czechoslovakia,False,2,False,True,60,1.0
1990-06-19,Yugoslavia,United Arab Emirates,True,3,False,True,60,1.0
1990-06-20,Brazil,Scotland,True,1,False,True,60,1.0
1990-06-20,Sweden,Costa Rica,True,1,False,False,60,0.0
1990-06-21,Belgium,Spain,True,1,False,False,60,0.0
1990-06-21,England,Egypt,True,1,False,True,60,1.0
1990-06-21,Ireland,Netherlands,True,0,True,False,60,0.5
1990-06-21,Korea Republic,Uruguay,True,1,False,False,60,0.0
1990-06-23,Cameroon,Colombia,True,1,False,True,60,1.0
1990-06-23,Czechoslovakia,Costa Rica,True,3,False,True,60,1.0
1990-06-24,Brazil,Argentina,True,1,False,False,60,0.0
1990-06-24,Germany,Netherlands,True,1,False,True,60,1.0
1990-06-25,Ireland,Romania,True,0,True,False,60,0.5
1990-06-25,Italy,Uruguay,False,2,False,True,60,1.0
1990-06-26,England,Belgium,True,1,False,True,60,1.0
1990-06-26,Spain,Yugoslavia,True,1,False,False,60,0.0
1990-06-30,Italy,Ireland,False,1,False,True,60,1.0
1990-06-30,Yugoslavia,Argentina,True,0,True,False,60,0.5
1990-07-01,Cameroon,England,True,1,False,False,60,0.0
1990-07-01,Germany,Czechoslovakia,True,1,False,True,60,1.0
1990-07-03,Italy,Argentina,False,0,True,False,60,0.5
1990-07-04,Germany,England,True,0,True,False,60,0.5
1990-07-06,Malawi,Tanzania,False,2,False,True,20,1.0
1990-07-07,Italy,England,False,1,False,True,60,1.0
1990-07-08,Germany,Argentina,True,1,False,True,60,1.0
