date,home,away,neutral,gdf,draw,win,k,result
1990-07-09,Barbados,Grenada,False,0,True,False,20,0.5
1990-07-09,Malawi,Tanzania,False,0,True,False,20,0.5
1990-07-10,Barbados,Grenada,False,4,False,True,20,1.0
1990-07-11,Malawi,Tanzania,False,0,True,False,20,0.5
1990-07-23,Barbados,Martinique,True,0,True,False,30,0.5
1990-07-27,China,Korea DPR,False,2,False,True,30,1.0
1990-07-27,Japan,Korea Republic,True,2,False,False,30,0.0
1990-07-27,Trinidad and Tobago,Jamaica,False,0,True,False,30,0.5
1990-07-29,China,Japan,False,1,False,True,30,1.0
1990-07-29,Korea Republic,Korea DPR,True,1,False,True,30,1.0
1990-07-29,Togo,Mali,False,0,True,False,20,0.5
1990-07-31,China,Korea Republic,False,1,False,False,30,0.0
1990-07-31,Japan,Korea DPR,True,1,False,False,30,0.0
1990-08-03,China,Korea Republic,False,0,True,False,30,0.5
1990-08-04,Malawi,Congo DR,False,1,False,True,20,1.0
1990-08-06,Malawi,Congo DR,False,1,False,True,20,1.0
1990-08-08,Faroe Islands,Iceland,False,1,False,False,20,0.0
1990-08-08,Malawi,Congo DR,False,0,True,False,20,0.5
1990-08-09,Tunisia,Morocco,False,0,True,False,20,0.5
1990-08-11,Réunion,Congo,False,1,False,True,20,1.0
1990-08-12,Gabon,Mali,False,0,True,False,20,0.5
1990-08-12,Swaziland,Mozambique,False,0,True,False,20,0.5
1990-08-12,Zambia,Congo DR,False,0,True,False,20,0.5
1990-08-13,Mozambique,Zimbabwe,True,1,False,False,20,0.0
1990-08-15,France,Poland,False,0,True,False,20,0.5
1990-08-16,New Zealand,China,False,1,False,True,20,1.0
1990-08-17,Egypt,Ethiopia,False,2,False,True,40,1.0
1990-08-18,Indonesia,Singapore,False,6,False,True,20,1.0
1990-08-18,Malawi,Congo,False,1,False,False,40,0.0
1990-08-19,Cameroon,Mali,False,0,True,False,40,0.5
1990-08-19,Congo DR,Tanzania,False,2,False,True,40,1.0
1990-08-19,Gabon,Uganda,False,1,False,True,40,1.0
1990-08-19,Ivory Coast,Mauritania,False,2,False,True,40,1.0
1990-08-19,Morocco,Niger,False,2,False,True,40,1.0
1990-08-19,Tunisia,Chad,False,1,False,True,40,1.0
1990-08-19,Zambia,Swaziland,False,5,False,True,40,1.0
1990-08-21,Austria,Switzerland,False,2,False,False,20,0.0
1990-08-22,Norway,Sweden,False,1,False,False,20,0.0
1990-08-24,New Zealand,China,False,1,False,True,20,1.0
1990-08-25,Botswana,Swaziland,False,1,False,True,20,1.0
1990-08-25,Indonesia,Australia,False,3,False,False,20,0.0
1990-08-25,Zambia,Zimbabwe,True,2,False,True,20,1.0
1990-08-26,Botswana,Zimbabwe,False,7,False,False,20,0.0
1990-08-27,Mali,Burkina Faso,False,1,False,True,20,1.0
1990-08-29,Finland,Czechoslovakia,False,0,True,False,20,0.5
1990-08-29,Portugal,Germany,False,0,True,False,20,0.5
1990-08-29,Russia,Romania,False,1,False,False,20,0.0
1990-08-30,Mozambique,Angola,False,2,False,False,20,0.0
1990-09-01,Sierra Leone,Cameroon,False,0,True,False,40,0.5
1990-09-01,Uganda,Congo DR,False,1,False,True,40,1.0
1990-09-02,Congo,Zimbabwe,False,2,False,True,40,1.0
1990-09-02,Mali,Guinea,False,0,True,False,40,0.5
1990-09-02,Morocco,Mauritania,False,4,False,True,40,1.0
1990-09-02,Mozambique,Kenya,False,1,False,True,40,1.0
1990-09-02,Swaziland,Angola,False,0,True,False,40,0.5
1990-09-05,Greece,Albania,False,1,False,True,20,1.0
1990-09-05,Hungary,Turkey,False,3,False,True,20,1.0
1990-09-05,Iceland,France,False,1,False,False,40,0.0
1990-09-05,Sweden,Denmark,False,1,False,False,20,0.0
1990-09-06,Korea Republic,Australia,False,1,False,True,20,1.0
1990-09-08,Malaysia,Yemen,False,1,False,False,20,0.0
1990-09-09,Korea Republic,Australia,False,1,False,True,20,1.0
1990-09-11,Denmark,Wales,False,1,False,True,20,1.0
1990-09-12,Belgium,German DR,False,2,False,False,20,0.0
1990-09-12,England,Hungary,False,1,False,True,20,1.0
1990-09-12,Faroe Islands,Austria,True,1,False,True,40,1.0
1990-09-12,Finland,Portugal,False,0,True,False,40,0.5
1990-09-12,Ireland,Morocco,False,1,False,True,20,1.0
1990-09-12,Northern Ireland,Yugoslavia,False,2,False,False,40,0.0
