date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1990-06-08,Argentina,Cameroon,0,1,FIFA World Cup,Milan,Italy,True
1990-06-09,Italy,Austria,1,0,FIFA World Cup,Rome,Italy,False
1990-06-09,Russia,Romania,0,2,FIFA World Cup,Bari,Italy,True
1990-06-09,United Arab Emirates,Colombia,0,2,FIFA World Cup,Bologna,Italy,True
1990-06-10,Botswana,Mauritius,0,1,Friendly,Gaborone,Botswana,False
1990-06-10,Brazil,Sweden,2,1,FIFA World Cup,Turin,Italy,True
1990-06-10,Germany,Yugoslavia,4,1,FIFA World Cup,Milan,Italy,True
1990-06-10,USA,Czechoslovakia,1,5,FIFA World Cup,Florence,Italy,True
1990-06-11,Costa Rica,Scotland,1,0,FIFA World Cup,Genoa,Italy,True
1990-06-11,England,Ireland,1,1,FIFA World Cup,Cagliari,Italy,True
1990-06-12,Belgium,Korea Republic,2,0,FIFA World Cup,Verona,Italy,True
1990-06-12,Netherlands,Egypt,1,1,FIFA World Cup,Palermo,Italy,True
1990-06-13,Argentina,Russia,2,0,FIFA World Cup,Naples,Italy,True
1990-06-13,Uruguay,Spain,0,0,FIFA World Cup,Udine,Italy,True
1990-06-14,Cameroon,Romania,2,1,FIFA World Cup,Bari,Italy,True
1990-06-14,Italy,USA,1,0,FIFA World Cup,Rome,Italy,False
1990-06-14,Yugoslavia,Colombia,1,0,FIFA World Cup,Bologna,Italy,True
1990-06-15,Austria,Czechoslovakia,0,1,FIFA World Cup,Florence,Italy,True
1990-06-15,Germany,United Arab Emirates,5,1,FIFA World Cup,Milan,Italy,True
1990-06-16,Brazil,Costa Rica,1,0,FIFA World Cup,Turin,Italy,True
1990-06-16,England,Netherlands,0,0,FIFA World Cup,Cagliari,Italy,True
1990-06-16,Sweden,Scotland,1,2,FIFA World Cup,Genoa,Italy,True
1990-06-17,Belgium,Uruguay,3,1,FIFA World Cup,Verona,Italy,True
1990-06-17,Ireland,Egypt,0,0,FIFA World Cup,Palermo,Italy,True
1990-06-17,Korea Republic,Spain,1,3,FIFA World Cup,Udine,Italy,True
1990-06-18,Argentina,Romania,1,1,FIFA World Cup,Naples,Italy,True
1990-06-18,Cameroon,Russia,0,4,FIFA World Cup,Bari,Italy,True
1990-06-19,Austria,USA,2,1,FIFA World Cup,Florence,Italy,True
1990-06-19,Germany,Colombia,1,1,FIFA World Cup,Milan,Italy,True
1990-06-19,Italy,Czechoslovakia,2,0,FIFA World Cup,Rome,Italy,False
1990-06-19,Yugoslavia,United Arab Emirates,4,1,FIFA World Cup,Bologna,Italy,True
1990-06-20,Brazil,Scotland,1,0,FIFA World Cup,Turin,Italy,True
1990-06-20,Sweden,Costa Rica,1,2,FIFA World Cup,Genoa,Italy,True
1990-06-21,Belgium,Spain,1,2,FIFA World Cup,Verona,Italy,True
1990-06-21,England,Egypt,1,0,FIFA World Cup,Cagliari,Italy,True
1990-06-21,Ireland,Netherlands,1,1,FIFA World Cup,Palermo,Italy,True
1990-06-21,Korea Republic,Uruguay,0,1,FIFA World Cup,Udine,Italy,True
1990-06-23,Cameroon,Colombia,2,1,FIFA World Cup,Naples,Italy,True
1990-06-23,Czechoslovakia,Costa Rica,4,1,FIFA World Cup,Bari,Italy,True
1990-06-24,Brazil,Argentina,0,1,FIFA World Cup,Turin,Italy,True
1990-06-24,Germany,Netherlands,2,1,FIFA World Cup,Milan,Italy,True
1990-06-25,Ireland,Romania,0,0,FIFA World Cup,Genoa,Italy,True
1990-06-25,Italy,Uruguay,2,0,FIFA World Cup,Rome,Italy,False
1990-06-26,England,Belgium,1,0,FIFA World Cup,Bologna,Italy,True
1990-06-26,Spain,Yugoslavia,1,2,FIFA World Cup,Verona,Italy,True
1990-06-30,Italy,Ireland,1,0,FIFA World Cup,Rome,Italy,False
1990-06-30,Yugoslavia,Argentina,0,0,FIFA World Cup,Florence,Italy,True
1990-07-01,Cameroon,England,2,3,FIFA World Cup,Naples,Italy,True
1990-07-01,Germany,Czechoslovakia,1,0,FIFA World Cup,Milan,Italy,True
1990-07-03,Italy,Argentina,1,1,FIFA World Cup,Naples,Italy,False
1990-07-04,Germany,England,1,1,FIFA World Cup,Turin,Italy,True
1990-07-06,Malawi,Tanzania,2,0,Friendly,Blantyre,Malawi,False
1990-07-07,Italy,England,2,1,FIFA World Cup,Bari,Italy,False
1990-07-08,Germany,Argentina,1,0,FIFA World Cup,Rome,Italy,True
