date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1974-06-13,Brazil,Yugoslavia,0,0,FIFA World Cup,Frankfurt am Main,Germany,True
1974-06-14,Congo DR,Scotland,0,2,FIFA World Cup,Dortmund,Germany,True
1974-06-14,German DR,Australia,2,0,FIFA World Cup,Hamburg,Germany,True
1974-06-14,Germany,Chile,1,0,FIFA World Cup,Berlin,Germany,False
1974-06-15,Italy,Haiti,3,1,FIFA World Cup,Munich,Germany,True
1974-06-15,Poland,Argentina,3,2,FIFA World Cup,Stuttgart,Germany,True
1974-06-15,Sweden,Bulgaria,0,0,FIFA World Cup,Düsseldorf,Germany,True
1974-06-15,Uruguay,Netherlands,0,2,FIFA World Cup,Hanover,Germany,True
1974-06-18,Chile,German DR,1,1,FIFA World Cup,Berlin,Germany,True
1974-06-18,Germany,Australia,3,0,FIFA World Cup,Hamburg,Germany,False
1974-06-18,Scotland,Brazil,0,0,FIFA World Cup,Frankfurt am Main,Germany,True
1974-06-18,Yugoslavia,Congo DR,9,0,FIFA World Cup,Gelsenkirchen,Germany,True
1974-06-19,Argentina,Italy,1,1,FIFA World Cup,Stuttgart,Germany,True
1974-06-19,Bulgaria,Uruguay,1,1,FIFA World Cup,Hanover,Germany,True
1974-06-19,Haiti,Poland,0,7,FIFA World Cup,Munich,Germany,True
1974-06-19,Netherlands,Sweden,0,0,FIFA World Cup,Dortmund,Germany,True
1974-06-22,Australia,Chile,0,0,FIFA World Cup,Berlin,Germany,True
1974-06-22,Congo DR,Brazil,0,3,FIFA World Cup,Gelsenkirchen,Germany,True
1974-06-22,Germany,German DR,0,1,FIFA World Cup,Hamburg,Germany,False
1974-06-22,Scotland,Yugoslavia,1,1,FIFA World Cup,Frankfurt am Main,Germany,True
1974-06-23,Argentina,Haiti,4,1,FIFA World Cup,Munich,Germany,True
1974-06-23,Bulgaria,Netherlands,1,4,FIFA World Cup,Dortmund,Germany,True
1974-06-23,Poland,Italy,2,1,FIFA World Cup,Stuttgart,Germany,True
1974-06-23,Sweden,Uruguay,3,0,FIFA World Cup,Düsseldorf,Germany,True
1974-06-26,Brazil,German DR,1,0,FIFA World Cup,Hanover,Germany,True
1974-06-26,Germany,Yugoslavia,2,0,FIFA World Cup,Düsseldorf,Germany,False
1974-06-26,Mali,Congo,1,1,Friendly,Bamako,Mali,False
1974-06-26,Netherlands,Argentina,4,0,FIFA World Cup,Gelsenkirchen,Germany,True
1974-06-26,Sweden,Poland,0,1,FIFA World Cup,Stuttgart,Germany,True
1974-06-30,Argentina,Brazil,1,2,FIFA World Cup,Hanover,Germany,True
1974-06-30,German DR,Netherlands,0,2,FIFA World Cup,Gelsenkirchen,Germany,True
1974-06-30,Germany,Sweden,4,2,FIFA World Cup,Düsseldorf,Germany,False
1974-06-30,Poland,Yugoslavia,2,1,FIFA World Cup,Frankfurt am Main,Germany,True
1974-07-03,Argentina,German DR,1,1,FIFA World Cup,Gelsenkirchen,Germany,True
1974-07-03,Faroe Islands,Iceland,2,3,Friendly,Tórshavn,Faroe Islands,False
1974-07-03,Germany,Poland,1,0,FIFA World Cup,Frankfurt am Main,Germany,False
1974-07-03,Netherlands,Brazil,2,0,FIFA World Cup,Dortmund,Germany,True
1974-07-03,Sweden,Yugoslavia,2,1,FIFA World Cup,Düsseldorf,Germany,True
1974-07-04,China,Togo,4,2,Friendly,Beijing,China,False
1974-07-06,Brazil,Poland,0,1,FIFA World Cup,Munich,Germany,True
1974-07-06,Malawi,Ivory Coast,5,1,Friendly,Lilongwe,Malawi,False
1974-07-07,Germany,Netherlands,2,1,FIFA World Cup,Munich,Germany,False
1974-07-07,Malawi,Tanzania,1,0,Friendly,Lilongwe,Malawi,False
