date,home,away,neutral,gdf,draw,win,k,result
1982-07-21,China,Hong Kong,False,2,False,True,20,1.0
1982-07-24,China,Morocco,False,0,True,False,20,0.5
1982-07-25,Hong Kong,Morocco,True,0,True,False,20,0.5
1982-07-25,Zimbabwe,Réunion,False,1,False,False,20,0.0
1982-08-01,Faroe Islands,Iceland,False,3,False,False,20,0.0
1982-08-02,Faroe Islands,Iceland,False,4,False,False,20,0.0
1982-08-05,Malaysia,Indonesia,False,2,False,False,30,0.0
1982-08-06,India,Thailand,True,0,True,False,30,0.5
1982-08-07,Singapore,Ghana,True,3,False,False,30,0.0
1982-08-09,Ghana,India,True,1,False,True,30,1.0
1982-08-09,Malaysia,Pakistan,True,3,False,True,20,1.0
1982-08-11,Denmark,Finland,False,1,False,True,30,1.0
1982-08-11,Indonesia,Senegal,True,0,True,False,30,0.5
1982-08-11,Norway,Sweden,False,1,False,True,30,1.0
1982-08-11,Thailand,Ghana,True,3,False,False,30,0.0
1982-08-12,Singapore,India,True,3,False,True,30,1.0
1982-08-13,Malaysia,Senegal,False,1,False,True,30,1.0
1982-08-14,Singapore,Thailand,True,2,False,True,30,1.0
1982-08-20,Ghana,Senegal,True,0,True,False,30,0.5
1982-08-29,Mauritius,Zimbabwe,True,2,False,True,20,1.0
1982-08-30,Burundi,Rwanda,False,1,False,True,20,1.0
1982-08-31,France,Poland,False,4,False,False,20,0.0
1982-09-01,Iceland,Netherlands,False,0,True,False,40,0.5
1982-09-01,Réunion,Zimbabwe,False,1,False,False,20,0.0
1982-09-01,Romania,Denmark,False,1,False,True,20,1.0
1982-09-05,Réunion,Mauritius,False,0,True,False,20,0.5
1982-09-07,Switzerland,Bulgaria,False,1,False,True,20,1.0
1982-09-08,Finland,Poland,False,1,False,False,40,0.0
1982-09-08,Iceland,German DR,False,1,False,False,20,0.0
1982-09-08,Romania,Sweden,False,2,False,True,40,1.0
1982-09-12,Malawi,Zimbabwe,False,2,False,True,40,1.0
1982-09-12,Tanzania,Uganda,False,0,True,False,40,0.5
1982-09-19,Somalia,Rwanda,False,1,False,False,40,0.0
1982-09-22,Austria,Albania,False,5,False,True,40,1.0
1982-09-22,Bulgaria,German DR,False,0,True,False,20,0.5
1982-09-22,Denmark,England,False,0,True,False,40,0.5
1982-09-22,Finland,Portugal,False,2,False,False,40,0.0
1982-09-22,Germany,Belgium,False,0,True,False,20,0.5
1982-09-22,Hungary,Turkey,False,5,False,True,20,1.0
1982-09-22,Netherlands,Ireland,False,1,False,True,40,1.0
1982-09-22,Wales,Norway,False,1,False,True,40,1.0
1982-09-26,Uganda,Tanzania,False,1,False,True,40,1.0
1982-10-01,Egypt,Zambia,False,2,False,False,20,0.0
1982-10-03,Burkina Faso,Niger,False,0,True,False,20,0.5
