date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2010-06-11,South Africa,Mexico,1,1,FIFA World Cup,Johannesburg,South Africa,False
2010-06-11,Uruguay,France,0,0,FIFA World Cup,Cape Town,South Africa,True
2010-06-12,Argentina,Nigeria,1,0,FIFA World Cup,Johannesburg,South Africa,True
2010-06-12,England,USA,1,1,FIFA World Cup,Rustenburg,South Africa,True
2010-06-12,Korea Republic,Greece,2,0,FIFA World Cup,Port Elizabeth,South Africa,True
2010-06-13,Algeria,Slovenia,0,1,FIFA World Cup,Polokwane,South Africa,True
2010-06-13,Germany,Australia,4,0,FIFA World Cup,Durban,South Africa,True
2010-06-13,Serbia,Ghana,0,1,FIFA World Cup,Pretoria,South Africa,True
2010-06-14,Italy,Paraguay,1,1,FIFA World Cup,Cape Town,South Africa,True
2010-06-14,Japan,Cameroon,1,0,FIFA World Cup,Bloemfontein,South Africa,True
2010-06-14,Netherlands,Denmark,2,0,FIFA World Cup,Johannesburg,South Africa,True
2010-06-15,Brazil,Korea DPR,2,1,FIFA World Cup,Johannesburg,South Africa,True
2010-06-15,Ivory Coast,Portugal,0,0,FIFA World Cup,Port Elizabeth,South Africa,True
2010-06-15,New Zealand,Slovakia,1,1,FIFA World Cup,Rustenburg,South Africa,True
2010-06-16,Honduras,Chile,0,1,FIFA World Cup,Nelspruit,South Africa,True
2010-06-16,South Africa,Uruguay,0,3,FIFA World Cup,Pretoria,South Africa,False
2010-06-16,Spain,Switzerland,0,1,FIFA World Cup,Durban,South Africa,True
2010-06-17,Argentina,Korea Republic,4,1,FIFA World Cup,Johannesburg,South Africa,True
2010-06-17,France,Mexico,0,2,FIFA World Cup,Polokwane,South Africa,True
2010-06-17,Greece,Nigeria,2,1,FIFA World Cup,Bloemfontein,South Africa,True
2010-06-18,England,Algeria,0,0,FIFA World Cup,Cape Town,South Africa,True
2010-06-18,Germany,Serbia,0,1,FIFA World Cup,Port Elizabeth,South Africa,True
2010-06-18,Lithuania,Latvia,0,0,Baltic Cup,Kaunas,Lithuania,False
2010-06-18,Slovenia,USA,2,2,FIFA World Cup,Johannesburg,South Africa,True
2010-06-19,Cameroon,Denmark,1,2,FIFA World Cup,Pretoria,South Africa,True
2010-06-19,Estonia,Latvia,0,0,Baltic Cup,Kaunas,Lithuania,True
2010-06-19,Ghana,Australia,1,1,FIFA World Cup,Rustenburg,South Africa,True
2010-06-19,Netherlands,Japan,1,0,FIFA World Cup,Durban,South Africa,True
2010-06-19,Niger,Chad,1,1,Friendly,Niamey,Niger,False
2010-06-19,Northern Mariana Islands,Guam,1,1,Friendly,Susupe,Northern Mariana Islands,False
2010-06-20,Brazil,Ivory Coast,3,1,FIFA World Cup,Johannesburg,South Africa,True
