date,home,away,neutral,gdf,draw,win,k,result
1970-06-23,Indonesia,Western Australia,False,2,False,True,30,1.0
1970-06-23,Korea Republic,Malaysia,True,1,False,False,30,0.0
1970-06-24,Hong Kong,Western Australia,True,2,False,True,30,1.0
1970-06-25,Sweden,Denmark,False,0,True,False,30,0.5
1970-06-26,Hong Kong,Malaysia,True,0,True,False,30,0.5
1970-06-26,Indonesia,Korea Republic,False,0,True,False,30,0.5
1970-06-27,Indonesia,Hong Kong,False,1,False,True,30,1.0
1970-06-28,Korea Republic,Malaysia,True,2,False,False,30,0.0
1970-06-30,Congo DR,Sudan,False,3,False,True,20,1.0
1970-07-06,Malawi,Mauritius,False,1,False,True,20,1.0
1970-07-07,Iceland,Denmark,False,0,True,False,20,0.5
1970-07-09,Malawi,Mauritius,False,0,True,False,20,0.5
1970-07-11,Gabon,Cameroon,False,0,True,False,20,0.5
1970-07-11,Tahiti,New Caledonia,False,2,False,True,20,1.0
1970-07-18,Tahiti,New Caledonia,False,2,False,False,20,0.0
1970-07-20,Iceland,Norway,False,2,False,True,20,1.0
1970-07-22,Poland,Iraq,False,2,False,True,20,1.0
1970-07-26,German DR,Iraq,False,5,False,True,20,1.0
1970-07-26,Ivory Coast,Guinea,False,1,False,True,20,1.0
1970-07-30,India,Taiwan,True,1,False,False,30,0.0
1970-07-30,Malaysia,Vietnam Republic,False,0,True,False,30,0.5
1970-07-31,Hong Kong,Japan,True,1,False,True,30,1.0
1970-07-31,Korea Republic,Thailand,True,0,True,False,30,0.5
1970-08-01,Burma,Western Australia,True,1,False,True,30,1.0
1970-08-01,Cameroon,Gabon,False,3,False,False,20,0.0
1970-08-01,Indonesia,Singapore,True,2,False,True,30,1.0
1970-08-02,Hong Kong,Thailand,True,2,False,True,30,1.0
1970-08-02,Japan,Korea Republic,True,0,True,False,30,0.5
1970-08-03,Burma,India,True,2,False,True,30,1.0
1970-08-03,Vietnam Republic,Western Australia,True,2,False,False,30,0.0
1970-08-04,Hong Kong,Indonesia,True,2,False,False,30,0.0
1970-08-04,Japan,Thailand,True,0,True,False,30,0.5
1970-08-04,Korea Republic,Singapore,True,4,False,True,30,1.0
1970-08-05,Burma,Vietnam Republic,True,2,False,True,30,1.0
1970-08-05,India,Western Australia,True,2,False,True,30,1.0
1970-08-06,Hong Kong,Singapore,True,1,False,True,30,1.0
1970-08-06,Indonesia,Korea Republic,True,1,False,False,30,0.0
1970-08-07,Burma,Taiwan,True,0,True,False,30,0.5
1970-08-07,Malaysia,Western Australia,False,3,False,True,30,1.0
1970-08-08,Indonesia,Japan,True,1,False,False,30,0.0
1970-08-08,Malawi,Lesotho,False,1,False,False,20,0.0
1970-08-08,Singapore,Thailand,True,1,False,False,30,0.0
1970-08-09,Hong Kong,Korea Republic,True,0,True,False,30,0.5
1970-08-09,India,Vietnam Republic,True,1,False,True,30,1.0
1970-08-09,Malaysia,Burma,False,1,False,False,30,0.0
1970-08-10,Indonesia,Thailand,True,3,False,True,30,1.0
1970-08-10,Japan,Singapore,True,4,False,True,30,1.0
1970-08-10,Malawi,Lesotho,False,5,False,True,20,1.0
1970-08-12,Burma,Hong Kong,True,5,False,True,30,1.0
1970-08-12,Thailand,Western Australia,True,2,False,True,30,1.0
1970-08-13,India,Korea Republic,True,1,False,False,30,0.0
1970-08-13,Singapore,Vietnam Republic,True,4,False,False,30,0.0
1970-08-15,Hong Kong,India,True,1,False,False,30,0.0
1970-08-16,Burma,Korea Republic,True,1,False,False,30,0.0
1970-08-16,Japan,Taiwan,True,1,False,True,30,1.0
1970-08-19,Singapore,India,False,5,False,False,20,0.0
1970-08-26,Finland,Sweden,False,1,False,False,30,0.0
1970-09-01,Libya,Tunisia,False,0,True,False,20,0.5
1970-09-02,Poland,Denmark,False,5,False,True,20,1.0
1970-09-04,Libya,Tunisia,False,1,False,True,20,1.0
1970-09-05,France,Czechoslovakia,False,3,False,True,20,1.0
1970-09-06,German DR,Poland,False,5,False,True,20,1.0
1970-09-06,Iran,Pakistan,False,7,False,True,20,1.0
1970-09-09,Germany,Hungary,False,2,False,True,20,1.0
1970-09-09,Pakistan,Turkey,True,2,False,False,20,0.0
1970-09-10,Austria,Yugoslavia,False,1,False,False,20,0.0
1970-09-11,Iran,Turkey,False,0,True,False,20,0.5
1970-09-20,North Vietnam,Cuba,False,1,False,True,20,1.0
1970-09-23,Denmark,Norway,False,1,False,False,30,0.0
1970-09-23,Ireland,Poland,False,2,False,False,20,0.0
1970-09-24,Tunisia,Libya,False,2,False,True,20,1.0
1970-09-26,Zanzibar,Uganda,False,1,False,False,20,0.0
1970-09-27,Hungary,Austria,False,0,True,False,20,0.5
1970-09-27,Tanzania,Kenya,False,2,False,True,20,1.0
1970-09-29,Kenya,Uganda,True,1,False,False,20,0.0
1970-09-30,Brazil,Mexico,False,1,False,True,20,1.0
1970-09-30,Zanzibar,Tanzania,False,1,False,False,20,0.0
1970-10-02,Tanzania,Uganda,False,3,False,False,20,0.0
1970-10-03,Zanzibar,Kenya,False,1,False,True,20,1.0
1970-10-04,Chile,Brazil,False,4,False,False,20,0.0
1970-10-04,Suriname,Trinidad and Tobago,False,1,False,True,20,1.0
1970-10-07,Austria,France,False,1,False,True,20,1.0
1970-10-07,Curaçao,Trinidad and Tobago,True,0,True,False,20,0.5
1970-10-07,Czechoslovakia,Finland,False,0,True,False,40,0.5
1970-10-07,Norway,Hungary,False,2,False,False,40,0.0
1970-10-08,Guyana,Trinidad and Tobago,False,0,True,False,20,0.5
1970-10-09,Suriname,Curaçao,False,4,False,True,20,1.0
1970-10-10,Guyana,Trinidad and Tobago,False,0,True,False,20,0.5
1970-10-11,Malta,Greece,False,0,True,False,40,0.5
1970-10-11,Netherlands,Yugoslavia,False,0,True,False,40,0.5
1970-10-11,Romania,Finland,False,3,False,True,40,1.0
1970-10-11,Sierra Leone,Senegal,False,1,False,True,20,1.0
1970-10-14,Denmark,Portugal,False,1,False,False,40,0.0
1970-10-14,Ireland,Sweden,False,0,True,False,40,0.5
1970-10-14,Luxembourg,Yugoslavia,False,2,False,False,40,0.0
1970-10-14,Poland,Albania,False,3,False,True,40,1.0
1970-10-17,Germany,Turkey,False,0,True,False,40,0.5
1970-10-17,Switzerland,Italy,False,0,True,False,20,0.5
1970-10-18,Ivory Coast,Senegal,False,1,False,False,20,0.0
1970-10-22,Paraguay,Argentina,False,0,True,False,20,0.5
1970-10-23,New Caledonia,Australia,False,2,False,False,20,0.0
